Agriculture,Various,Climate & Resilience,Water Resources,Ecological Conservation,Capacity Building,Disasters,Health & Air Quality,Wildland Fires,Other,method
44,9,11,16,8,3,4,6,2,0,Value of information
10,7,2,4,9,1,3,1,1,1,Cost-benefit analysis
12,5,4,2,5,4,3,0,1,1,Surveys of preference assessments
14,5,2,1,2,7,0,0,2,0,Semi-structured and in-depth interviews
5,4,4,1,0,0,1,1,1,0,Stated preference
8,1,3,1,5,0,0,0,0,0,Bayesian decision analysis
5,2,1,1,0,4,1,0,1,0,Focus groups
6,0,2,2,0,0,0,2,0,0,Econometric analysis
3,0,1,1,0,0,1,0,0,0,Real options analysis
2,1,0,0,0,2,0,0,0,0,Non-monetary methods - deliberative
0,2,0,1,0,0,0,1,0,0,Market price/cost methods
0,0,0,1,0,0,0,0,0,0,Revealed preference
0,1,0,0,0,0,0,0,0,0,Delphi method
